id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;supplier_id
1;Home Loan Account syndicate Western Sahara;2020-01-01;extend structure;92824;1;1;1
2;yellow panel Reduced;2020-01-01;Soft Markets;36605;2;2;2
3;magnetic neural;2020-01-01;bypassing;41306;3;3;3
4;Dominican Peso Crossroad;2020-01-01;Rand Namibia Dollar digital;69005;4;4;4
5;Phased Keyboard synergies;2020-01-01;Indiana driver;4847;5;5;5
6;bandwidth-monitored Future;2019-12-31;methodology magenta functionalities;28454;6;6;6
7;e-business Bedfordshire;2020-01-01;black;26752;7;7;7
8;sensor incubate Clothing;2020-01-01;magnetic;92185;8;8;8
9;Maine deposit vertical;2020-01-01;Developer;26956;9;9;9
10;1080p infrastructures;2020-01-01;mesh;6561;10;10;10
