id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;customer_id
1;Cotton Concrete;2020-01-01;Architect Home;5035;1;1;1
2;Personal Loan Account compress;2019-12-31;Representative users Global;41485;2;2;2
3;Global Sri Lanka input;2020-01-01;one-to-one exuding navigate;36161;3;3;3
4;Borders;2019-12-31;Creative Cotton;8369;4;4;4
5;Fresh Locks Colorado;2020-01-01;USB Money Market Account cyan;16795;5;5;5
6;Steel granular;2020-01-01;Licensed Rubber Pizza;91610;6;6;6
7;Union back-end Unbranded Steel Pants;2020-01-01;asynchronous;44164;7;7;7
8;visualize payment;2020-01-01;implement Quality;40481;8;8;8
9;e-business killer;2020-01-01;relationships;812;9;9;9
10;Mississippi COM;2020-01-01;Realigned SMTP bluetooth;50668;10;10;10
