id;transaction_date;transaction_description;transaction_amount_dr;transaction_amount_cr;transaction_balance;location_id;transaction_type_id;expense_id
1;2019-12-31;Ergonomic synthesize Row;81865;72491;7669;1;1;1
2;2020-01-01;success navigate;35205;67268;56123;2;2;2
3;2020-01-01;Massachusetts database;19482;46161;68035;3;3;3
4;2020-01-01;Program;99279;26970;1550;4;4;4
5;2020-01-01;uniform Rwanda Franc Designer;12369;99758;91715;5;5;5
6;2019-12-31;multi-tasking Australian Dollar;47423;59050;45689;6;6;6
7;2020-01-01;calculating Namibia solution-oriented;97730;11090;82448;7;7;7
8;2020-01-01;payment Taiwan global;46305;93060;73671;8;8;8
9;2020-01-01;Specialist;85122;23557;19524;9;9;9
10;2020-01-01;action-items Vermont Malta;48449;75234;76181;10;10;10
