id;transaction_number;transaction_date;transaction_description;transaction_amount;location_id;transaction_type_id;customer_id
1;Movies Plastic bypassing;2019-12-25;ivory Practical Granite Shirt Integration;36992;1;1;1
2;Senior encoding Concrete;2019-12-25;complexity;29446;2;2;2
3;Electronics Money Market Account program;2019-12-25;Brand;95678;3;3;3
4;Rustic;2019-12-25;Engineer;67909;4;4;4
5;Innovative navigate Passage;2019-12-26;well-modulated matrix;72421;5;5;5
6;Shore transitional;2019-12-26;Practical Rubber Fish architectures withdrawal;70061;6;6;6
7;hacking Fresh Garden;2019-12-25;Regional Front-line;45196;7;7;7
8;Sleek Mountains;2019-12-25;Philippines;64989;8;8;8
9;Small;2019-12-25;utilisation Latvian Lats;45634;9;9;9
10;Road;2019-12-25;grey Tools systems;98265;10;10;10
